iter	Passed	Remaining
0	4	477
1	9	472
2	14	474
3	18	449
4	21	409
5	24	380
6	26	356
7	29	342
8	32	329
9	34	314
10	37	303
11	40	294
12	42	285
13	45	278
14	47	270
15	50	262
16	52	255
17	54	248
18	56	241
19	58	235
20	61	230
21	63	224
22	65	219
23	67	214
24	69	209
25	72	204
26	74	200
27	76	196
28	78	192
29	80	188
30	82	184
31	85	180
32	87	177
33	89	173
34	91	169
35	93	166
36	95	162
37	97	158
38	98	154
39	100	151
40	102	147
41	103	142
42	104	138
43	105	134
44	107	130
45	108	127
46	109	123
47	111	120
48	112	116
49	113	113
50	114	110
51	115	106
52	117	103
53	118	100
54	118	97
55	120	94
56	121	91
57	122	88
58	123	85
59	124	82
60	125	80
61	126	77
62	127	74
63	128	72
64	129	69
65	130	67
66	131	64
67	132	62
68	133	59
69	134	57
70	135	55
71	136	53
72	137	50
73	138	48
74	139	46
75	140	44
76	141	42
77	142	40
78	143	38
79	144	36
80	145	34
81	146	32
82	147	30
83	148	28
84	150	26
85	151	24
86	152	22
87	153	20
88	154	19
89	155	17
90	156	15
91	157	13
92	158	11
93	159	10
94	160	8
95	161	6
96	162	5
97	163	3
98	164	1
99	165	0
